12/15/2018 17:52:45 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:45 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:46 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:47 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:47 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:48 - 1002	L	619,1,0,0,0,0,0,payon
12/15/2018 17:52:48 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	M	909,-1,payon
12/15/2018 17:52:50 - 1002	M	713,-1,payon
12/15/2018 17:52:50 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	619,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:50 - 1002	L	619,1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	M	713,-1,payon
12/15/2018 17:52:53 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	909,-1,0,0,0,0,0,payon
